"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","biomaterial_provider_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_phone","contact_fax","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","contact_web_link","supplementary_file","data_row_count"
"GSM327308","02-TB-062: MSS","GSM327308","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-062","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327308/GSM327308.CEL.gz","54675"
"GSM327309","02-TB-064: MSI","GSM327309","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-064","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327309/GSM327309.CEL.gz","54675"
"GSM327310","02-TB-073: MSI","GSM327310","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-073","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327310/GSM327310.CEL.gz","54675"
"GSM327311","02-TB-074: MSI","GSM327311","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-074","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327311/GSM327311.CEL.gz","54675"
"GSM327312","02-TB-079: MSS","GSM327312","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-079","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327312/GSM327312.CEL.gz","54675"
"GSM327313","02-TB-084: MSI","GSM327313","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-084","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327313/GSM327313.CEL.gz","54675"
"GSM327314","02-TB-085: MSS","GSM327314","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-085","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327314/GSM327314.CEL.gz","54675"
"GSM327315","02-TB-087: MSS","GSM327315","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-087","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327315/GSM327315.CEL.gz","54675"
"GSM327316","02-TB-088: MSS","GSM327316","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-088","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327316/GSM327316.CEL.gz","54675"
"GSM327317","03-TB-003: MSS","GSM327317","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-003","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327317/GSM327317.CEL.gz","54675"
"GSM327318","03-TB-005: MSS","GSM327318","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-005","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327318/GSM327318.CEL.gz","54675"
"GSM327319","03-TB-008: MSS","GSM327319","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-008","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327319/GSM327319.CEL.gz","54675"
"GSM327320","03-TB-009: MSS","GSM327320","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-009","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327320/GSM327320.CEL.gz","54675"
"GSM327321","03-TB-012: MSS","GSM327321","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-012","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327321/GSM327321.CEL.gz","54675"
"GSM327322","03-TB-014: MSS","GSM327322","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-014","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327322/GSM327322.CEL.gz","54675"
"GSM327323","03-TB-019: MSS","GSM327323","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-019","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327323/GSM327323.CEL.gz","54675"
"GSM327324","03-TB-021: MSI","GSM327324","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-021","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327324/GSM327324.CEL.gz","54675"
"GSM327325","03-TB-022: MSI","GSM327325","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-022","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327325/GSM327325.CEL.gz","54675"
"GSM327326","03-TB-024: MSS","GSM327326","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-024","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327326/GSM327326.CEL.gz","54675"
"GSM327327","03-TB-030: MSS","GSM327327","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-030","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327327/GSM327327.CEL.gz","54675"
"GSM327328","03-TB-031: MSS","GSM327328","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-031","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327328/GSM327328.CEL.gz","54675"
"GSM327329","03-TB-032: MSS","GSM327329","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-032","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327329/GSM327329.CEL.gz","54675"
"GSM327330","03-TB-036: MSS","GSM327330","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-036","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327330/GSM327330.CEL.gz","54675"
"GSM327331","03-TB-040: MSI","GSM327331","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-040","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327331/GSM327331.CEL.gz","54675"
"GSM327332","03-TB-061: MSS","GSM327332","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-061","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327332/GSM327332.CEL.gz","54675"
"GSM327333","03-TB-066: MSS","GSM327333","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","03-TB-066","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327333/GSM327333.CEL.gz","54675"
